fips_code,Geographic Area Name,,population,median_age_years
13047,Catoosa County, Georgia,67580,42
13051,Chatham County, Georgia,289430,36.3
13057,Cherokee County, Georgia,258773,39
13059,Clarke County, Georgia,128331,28.5
13063,Clayton County, Georgia,292256,33
13067,Cobb County, Georgia,760141,37.3
13073,Columbia County, Georgia,156714,38
13077,Coweta County, Georgia,148509,40.1
13089,DeKalb County, Georgia,759297,36.3
13095,Dougherty County, Georgia,87956,36.2
13097,Douglas County, Georgia,146343,36.7
13113,Fayette County, Georgia,114421,43.1
13115,Floyd County, Georgia,98498,38.2
13117,Forsyth County, Georgia,244252,38.8
13121,Fulton County, Georgia,1063937,35.9
13127,Glynn County, Georgia,85292,42.1
13135,Gwinnett County, Georgia,936250,35.8
13139,Hall County, Georgia,204441,38.4
13151,Henry County, Georgia,234561,36.9
13153,Houston County, Georgia,157863,35.6
13157,Jackson County, Georgia,72977,37
13185,Lowndes County, Georgia,117406,30.3
13215,Muscogee County, Georgia,195769,34.9
13217,Newton County, Georgia,111744,35.9
13223,Paulding County, Georgia,168667,36.8
13245,Richmond County, Georgia,202518,34.7
13247,Rockdale County, Georgia,90896,39.2
13255,Spalding County, Georgia,66703,41.5
13285,Troup County, Georgia,69922,35.3
13295,Walker County, Georgia,69761,40.9
13297,Walton County, Georgia,94593,38.7
13313,Whitfield County, Georgia,104628,36.3
15001,Hawaii County, Hawaii,201513,43.2
15003,Honolulu County, Hawaii,974563,38.4
15007,Kauai County, Hawaii,72293,42.2
15009,Maui County, Hawaii,167488,41.7
16001,Ada County, Idaho,481587,37.8
16005,Bannock County, Idaho,87808,34.5
16019,Bonneville County, Idaho,119062,33.3
16027,Canyon County, Idaho,229849,33.9
16055,Kootenai County, Idaho,165697,40.7
16083,Twin Falls County, Idaho,86878,34.7
17001,Adams County, Illinois,65435,41.7
17019,Champaign County, Illinois,209689,30.8
17031,Cook County, Illinois,5150233,37.2
17037,DeKalb County, Illinois,104897,31.4
17043,DuPage County, Illinois,922921,39.8
17089,Kane County, Illinois,532403,38.2
17091,Kankakee County, Illinois,109862,38.7
17093,Kendall County, Illinois,128990,35.9
17097,Lake County, Illinois,696535,38.7
17099,LaSalle County, Illinois,108669,42.1
17111,McHenry County, Illinois,307774,40.2
17113,McLean County, Illinois,171517,34
17115,Macon County, Illinois,104009,40.4
17119,Madison County, Illinois,262966,41.1
17143,Peoria County, Illinois,179179,38.5
17161,Rock Island County, Illinois,141879,40.7
17163,St. Clair County, Illinois,259686,38.9
17167,Sangamon County, Illinois,194672,40.8
17179,Tazewell County, Illinois,131803,41.6
17183,Vermilion County, Illinois,75758,40.5
17197,Will County, Illinois,690743,38.6
17199,Williamson County, Illinois,66597,41
17201,Winnebago County, Illinois,282572,39.8
18003,Allen County, Indiana,379299,36.3
18005,Bartholomew County, Indiana,83779,38
18011,Boone County, Indiana,67843,38.4
18019,Clark County, Indiana,118302,39.7
18035,Delaware County, Indiana,114135,36.6
18039,Elkhart County, Indiana,206341,35.9
18043,Floyd County, Indiana,78522,38.8
18053,Grant County, Indiana,65769,40.8
18057,Hamilton County, Indiana,338011,37.4
18059,Hancock County, Indiana,78168,40.5
18063,Hendricks County, Indiana,170311,39.2
18067,Howard County, Indiana,82544,41.6
18081,Johnson County, Indiana,158167,38.2
18085,Kosciusko County, Indiana,79456,39.7
18089,Lake County, Indiana,485493,40
18091,LaPorte County, Indiana,109888,41.1
18095,Madison County, Indiana,129569,40.7
18097,Marion County, Indiana,964582,34.4
18105,Monroe County, Indiana,148431,29.5
18109,Morgan County, Indiana,70489,41.4
18127,Porter County, Indiana,170389,40
18141,St. Joseph County, Indiana,271826,36.9
18157,Tippecanoe County, Indiana,195732,28.5
18163,Vanderburgh County, Indiana,181451,39.2
18167,Vigo County, Indiana,107038,36.4
18177,Wayne County, Indiana,65884,40.5
19013,Black Hawk County, Iowa,131228,35.8
19049,Dallas County, Iowa,93453,35.3
19061,Dubuque County, Iowa,97311,39.1
19103,Johnson County, Iowa,151140,30.7
19113,Linn County, Iowa,226706,37.9
19153,Polk County, Iowa,490161,36
19155,Pottawattamie County, Iowa,93206,40.2
19163,Scott County, Iowa,172943,38.7
19169,Story County, Iowa,97117,27.9
19193,Woodbury County, Iowa,103107,35.7
20015,Butler County, Kansas,66911,38.4
20045,Douglas County, Kansas,122259,30.8
20091,Johnson County, Kansas,602401,37.8
20103,Leavenworth County, Kansas,81758,39.1
20161,Riley County, Kansas,74232,25.1
20173,Sedgwick County, Kansas,516042,35.8
20177,Shawnee County, Kansas,176875,40.2
20209,Wyandotte County, Kansas,165429,33.5
21015,Boone County, Kentucky,133581,37.6
21029,Bullitt County, Kentucky,81676,41.3
21037,Campbell County, Kentucky,93584,38.3
21047,Christian County, Kentucky,70461,28.1
21059,Daviess County, Kentucky,101511,39
21067,Fayette County, Kentucky,323152,35
21093,Hardin County, Kentucky,110958,38.1
21111,Jefferson County, Kentucky,766757,38.5
21117,Kenton County, Kentucky,166998,37.8
21145,McCracken County, Kentucky,65418,42.7
21151,Madison County, Kentucky,92987,34.2
21185,Oldham County, Kentucky,66799,39.9
21227,Warren County, Kentucky,132896,33.4
22005,Ascension Parish, Louisiana,126604,35.7
22015,Bossier Parish, Louisiana,127039,35.8
22017,Caddo Parish, Louisiana,240204,38.8
22019,Calcasieu Parish, Louisiana,203436,36.3
22033,East Baton Rouge Parish, Louisiana,440059,34.5
22045,Iberia Parish, Louisiana,69830,37.5
22051,Jefferson Parish, Louisiana,432493,39.9
22055,Lafayette Parish, Louisiana,244390,35.9
22057,Lafourche Parish, Louisiana,97614,37.8
22063,Livingston Parish, Louisiana,140789,36
22071,Orleans Parish, Louisiana,390144,38.3
22073,Ouachita Parish, Louisiana,153279,37.1
22079,Rapides Parish, Louisiana,129648,37.7
22097,St. Landry Parish, Louisiana,82124,38.2
22103,St. Tammany Parish, Louisiana,260419,40.4
22105,Tangipahoa Parish, Louisiana,134758,36.6
22109,Terrebonne Parish, Louisiana,110461,36.2
23001,Androscoggin County, Maine,108277,42.1
23003,Aroostook County, Maine,67055,48.7
23005,Cumberland County, Maine,295003,42.5
23011,Kennebec County, Maine,122302,45.1
23019,Penobscot County, Maine,152148,42.7
23031,York County, Maine,207641,45.5
24001,Allegany County, Maryland,70416,42.5
24003,Anne Arundel County, Maryland,579234,38.5
24005,Baltimore County, Maryland,827370,39.5
24009,Calvert County, Maryland,92525,40.1
24013,Carroll County, Maryland,168447,42.4
24015,Cecil County, Maryland,102855,41
24017,Charles County, Maryland,163257,38.8
24021,Frederick County, Maryland,259547,38.7
24025,Harford County, Maryland,255441,41.1
24027,Howard County, Maryland,325690,38.9
24031,Montgomery County, Maryland,1050688,39.7
24033,Prince George's County, Maryland,909327,37.8
24037,St. Mary's County, Maryland,113510,37.5
24043,Washington County, Maryland,151049,41.1
24045,Wicomico County, Maryland,103609,37.8
24510,Baltimore city, Maryland,593490,35.9
25001,Barnstable County, Massachusetts,212990,54.1
25003,Berkshire County, Massachusetts,124944,47.7
25005,Bristol County, Massachusetts,565217,41
25009,Essex County, Massachusetts,789034,40.6
25011,Franklin County, Massachusetts,70180,47.4
25013,Hampden County, Massachusetts,466372,39.1
25015,Hampshire County, Massachusetts,160830,37.7
25017,Middlesex County, Massachusetts,1611699,38.8
25021,Norfolk County, Massachusetts,706775,40.7
25023,Plymouth County, Massachusetts,521202,43.2
25025,Suffolk County, Massachusetts,803907,33.1
25027,Worcester County, Massachusetts,830622,40.3
26005,Allegan County, Michigan,118081,40.2
26017,Bay County, Michigan,103126,44.1
26021,Berrien County, Michigan,153401,42.1
26025,Calhoun County, Michigan,134159,39.6
26037,Clinton County, Michigan,79595,41.2
26045,Eaton County, Michigan,110268,40.7
26049,Genesee County, Michigan,405813,40.4
26055,Grand Traverse County, Michigan,93088,42.9
26065,Ingham County, Michigan,292406,32.4
26073,Isabella County, Michigan,69872,29.5
26075,Jackson County, Michigan,158510,41.3
26077,Kalamazoo County, Michigan,265066,34.8
26081,Kent County, Michigan,656955,35.5
26087,Lapeer County, Michigan,87607,44.5
26091,Lenawee County, Michigan,98451,42.1
26093,Livingston County, Michigan,191995,43.7
26099,Macomb County, Michigan,873972,40.9
26103,Marquette County, Michigan,66699,38.8
26111,Midland County, Michigan,83156,41.3
26115,Monroe County, Michigan,150500,43
26121,Muskegon County, Michigan,173566,39.1
26125,Oakland County, Michigan,1257584,41
26139,Ottawa County, Michigan,291830,36.1
26145,Saginaw County, Michigan,190539,40.9
26147,St. Clair County, Michigan,159128,44.2
26155,Shiawassee County, Michigan,68122,43.5
26159,Van Buren County, Michigan,75677,41.9
26161,Washtenaw County, Michigan,367601,34.1
26163,Wayne County, Michigan,1749343,37.6
27003,Anoka County, Minnesota,356921,38.8
27013,Blue Earth County, Minnesota,67653,31.4
27019,Carver County, Minnesota,105089,38
27035,Crow Wing County, Minnesota,65055,45
27037,Dakota County, Minnesota,429021,38.3
27053,Hennepin County, Minnesota,1265843,36.8
27109,Olmsted County, Minnesota,158293,37.8
27123,Ramsey County, Minnesota,550321,35.3
27131,Rice County, Minnesota,66972,36.6
27137,St. Louis County, Minnesota,199070,41.2
27139,Scott County, Minnesota,149013,37.1
27141,Sherburne County, Minnesota,97238,36.5
27145,Stearns County, Minnesota,161075,35.3
27163,Washington County, Minnesota,262440,39.9
27171,Wright County, Minnesota,138377,37.5
28033,DeSoto County, Mississippi,184945,36.6
28035,Forrest County, Mississippi,74897,33.2
28047,Harrison County, Mississippi,208080,37.3
28049,Hinds County, Mississippi,231840,35.8
28059,Jackson County, Mississippi,143617,39.6
28067,Jones County, Mississippi,68098,37
28075,Lauderdale County, Mississippi,74125,38.9
28081,Lee County, Mississippi,85436,38.7
28089,Madison County, Mississippi,106272,37.1
28121,Rankin County, Mississippi,155271,38.2
29019,Boone County, Missouri,180463,31.7
29021,Buchanan County, Missouri,87364,39.5
29031,Cape Girardeau County, Missouri,78871,37.4
29037,Cass County, Missouri,105780,39.4
29043,Christian County, Missouri,88595,38.6
29047,Clay County, Missouri,249948,37.6
29051,Cole County, Missouri,76745,40.5
29071,Franklin County, Missouri,103967,41.5
29077,Greene County, Missouri,293086,36.3
29095,Jackson County, Missouri,703011,37.2
29097,Jasper County, Missouri,121328,36.1
29099,Jefferson County, Missouri,225081,40.3
29165,Platte County, Missouri,104418,39.2
29183,St. Charles County, Missouri,402022,39
29187,St. Francois County, Missouri,67215,39.1
29189,St. Louis County, Missouri,994205,40.4
29510,St. Louis city, Missouri,300576,36.4
30013,Cascade County, Montana,81366,37.4
30029,Flathead County, Montana,103806,42.4
30031,Gallatin County, Montana,114434,33.1
30049,Lewis and Clark County, Montana,69432,42
30063,Missoula County, Montana,119600,37.3
30111,Yellowstone County, Montana,161300,39.1
31055,Douglas County, Nebraska,571327,35.1
31109,Lancaster County, Nebraska,319090,34
31153,Sarpy County, Nebraska,187196,34.9
32003,Clark County, Nevada,2266715,37.7
32031,Washoe County, Nevada,471519,38.6
33005,Cheshire County, New Hampshire,76085,43.8
33009,Grafton County, New Hampshire,89886,44
33011,Hillsborough County, New Hampshire,417025,41
33013,Merrimack County, New Hampshire,151391,42.7
33015,Rockingham County, New Hampshire,309769,44.7
33017,Strafford County, New Hampshire,130633,37.6
34001,Atlantic County, New Jersey,263670,41.9
34003,Bergen County, New Jersey,932202,42.1
34005,Burlington County, New Jersey,445349,41.4
34007,Camden County, New Jersey,506471,38.7
34009,Cape May County, New Jersey,92039,50.5
34011,Cumberland County, New Jersey,149527,38.1
34013,Essex County, New Jersey,798975,37.9
34015,Gloucester County, New Jersey,291636,40.7
34017,Hudson County, New Jersey,672391,35.5
34019,Hunterdon County, New Jersey,124371,46.3
34021,Mercer County, New Jersey,367430,38.8
34023,Middlesex County, New Jersey,825062,39.3
34025,Monmouth County, New Jersey,618795,43.5
34027,Morris County, New Jersey,491845,43.3
34029,Ocean County, New Jersey,607186,42.3
34031,Passaic County, New Jersey,501826,37.7
34033,Salem County, New Jersey,62385,43.1
34035,Somerset County, New Jersey,328934,42.2
34037,Sussex County, New Jersey,140488,44.8
34039,Union County, New Jersey,556341,39
34041,Warren County, New Jersey,105267,44.5
35001,Bernalillo County, New Mexico,679121,38.4
35005,Chaves County, New Mexico,64615,36.6
35013,Doña Ana County, New Mexico,218195,33.2
35025,Lea County, New Mexico,71070,33
35031,McKinley County, New Mexico,71367,33.2
35035,Otero County, New Mexico,67490,38.9
35043,Sandoval County, New Mexico,146748,40.8
35045,San Juan County, New Mexico,123958,36.7
35049,Santa Fe County, New Mexico,150358,47.3
35061,Valencia County, New Mexico,76688,38.7
36001,Albany County, New York,305506,38
36005,Bronx County, New York,1418207,34.8
36007,Broome County, New York,190488,40
36009,Cattaraugus County, New York,76117,42.5
36011,Cayuga County, New York,76576,44
36013,Chautauqua County, New York,126903,43.1
36015,Chemung County, New York,83456,42.4
36019,Clinton County, New York,80485,40.6
36027,Dutchess County, New York,294218,42.8
36029,Erie County, New York,918702,40.3
36045,Jefferson County, New York,109834,32.9
36047,Kings County, New York,2559903,35.6
36051,Livingston County, New York,62914,41.4
36053,Madison County, New York,70941,43.1
36055,Monroe County, New York,741770,39.2
36059,Nassau County, New York,1356924,41.9
36061,New York County, New York,1628706,37.6
36063,Niagara County, New York,209281,43
36065,Oneida County, New York,228671,41.1
36067,Onondaga County, New York,460528,39.4
36069,Ontario County, New York,109777,43.8
36071,Orange County, New York,384940,36.9
36075,Oswego County, New York,117124,40.1
36079,Putnam County, New York,98320,44.1
36081,Queens County, New York,2253858,39.7
36083,Rensselaer County, New York,158714,39.7
36085,Richmond County, New York,476143,40
36087,Rockland County, New York,325789,35.9
36089,St. Lawrence County, New York,107740,40.1
36091,Saratoga County, New York,229863,43.2
36093,Schenectady County, New York,155299,39.2
36101,Steuben County, New York,95379,43.3
36103,Suffolk County, New York,1476601,41.8
36105,Sullivan County, New York,75432,45.1
36109,Tompkins County, New York,102180,31.3
36111,Ulster County, New York,177573,44.3
36113,Warren County, New York,63944,48.1
36117,Wayne County, New York,89918,44.3
36119,Westchester County, New York,967506,41
37001,Alamance County, North Carolina,169509,38.5
37019,Brunswick County, North Carolina,142820,56.1
37021,Buncombe County, North Carolina,261191,42
37023,Burke County, North Carolina,90485,46.2
37025,Cabarrus County, North Carolina,216453,37.1
37027,Caldwell County, North Carolina,82178,45.5
37031,Carteret County, North Carolina,69473,50
37035,Catawba County, North Carolina,159551,41.3
37037,Chatham County, North Carolina,74470,46.7
37045,Cleveland County, North Carolina,97947,40.6
37049,Craven County, North Carolina,102139,37.6
37051,Cumberland County, North Carolina,335509,31.5
37057,Davidson County, North Carolina,167609,44.4
37063,Durham County, North Carolina,321488,35.7
37067,Forsyth County, North Carolina,382295,38.4
37069,Franklin County, North Carolina,69685,40.8
37071,Gaston County, North Carolina,224529,40
37081,Guilford County, North Carolina,537174,37.7
37085,Harnett County, North Carolina,135976,34.8
37089,Henderson County, North Carolina,117417,47.5
37097,Iredell County, North Carolina,181806,41
37101,Johnston County, North Carolina,209339,38.9
37109,Lincoln County, North Carolina,86111,44
37119,Mecklenburg County, North Carolina,1110356,35.4
37125,Moore County, North Carolina,100880,43.4
37127,Nash County, North Carolina,94298,41.8
37129,New Hanover County, North Carolina,234473,40.1
37133,Onslow County, North Carolina,197938,26.9
37135,Orange County, North Carolina,148476,35.1
37147,Pitt County, North Carolina,180742,33.4
37151,Randolph County, North Carolina,143667,41.6
37155,Robeson County, North Carolina,130625,37
37157,Rockingham County, North Carolina,91010,45.3
37159,Rowan County, North Carolina,142088,40.7
37161,Rutherford County, North Carolina,67029,46.5
37171,Surry County, North Carolina,71783,44.3
37179,Union County, North Carolina,239859,38.7
37183,Wake County, North Carolina,1111761,36.8
37191,Wayne County, North Carolina,123131,37.7
37193,Wilkes County, North Carolina,68412,45.2
37195,Wilson County, North Carolina,81801,40.4
38015,Burleigh County, North Dakota,95626,37.5
38017,Cass County, North Dakota,181923,33.4
38035,Grand Forks County, North Dakota,69451,30
38101,Ward County, North Dakota,67641,31.8
39003,Allen County, Ohio,102351,38.7
39007,Ashtabula County, Ohio,97241,42.3
39009,Athens County, Ohio,65327,30.5
39013,Belmont County, Ohio,67006,43.7
39017,Butler County, Ohio,383134,37.1
39023,Clark County, Ohio,134083,41.2
39025,Clermont County, Ohio,206428,40.5
39029,Columbiana County, Ohio,101883,45.4
39035,Cuyahoga County, Ohio,1235072,40.4
39041,Delaware County, Ohio,209177,39.1
39043,Erie County, Ohio,74266,45.1
39045,Fairfield County, Ohio,157574,39.6
39049,Franklin County, Ohio,1316756,34.3
39055,Geauga County, Ohio,93649,44.3
39057,Greene County, Ohio,168937,37.6
39061,Hamilton County, Ohio,817473,36.7
39063,Hancock County, Ohio,75783,39.9
39081,Jefferson County, Ohio,65325,45.3
39085,Lake County, Ohio,230149,43.5
39089,Licking County, Ohio,176862,40.6
39093,Lorain County, Ohio,309833,42.1
39095,Lucas County, Ohio,428348,38
39099,Mahoning County, Ohio,228683,43.4
39101,Marion County, Ohio,65093,42.4
39103,Medina County, Ohio,179746,42.8
39109,Miami County, Ohio,106987,40.8
39113,Montgomery County, Ohio,531687,39
39119,Muskingum County, Ohio,86215,42
39133,Portage County, Ohio,162466,38.1
39139,Richland County, Ohio,121154,41.5
39141,Ross County, Ohio,76666,40.5
39145,Scioto County, Ohio,75314,40.2
39151,Stark County, Ohio,370606,42.6
39153,Summit County, Ohio,541013,41.2
39155,Trumbull County, Ohio,197974,44.6
39157,Tuscarawas County, Ohio,91987,41.6
39165,Warren County, Ohio,234602,39.4
39169,Wayne County, Ohio,115710,38.8
39173,Wood County, Ohio,130817,34.7
40017,Canadian County, Oklahoma,148306,35.8
40027,Cleveland County, Oklahoma,284014,34.5
40031,Comanche County, Oklahoma,120749,32.9
40037,Creek County, Oklahoma,71522,40.9
40101,Muskogee County, Oklahoma,67997,38.3
40109,Oklahoma County, Oklahoma,797434,35
40119,Payne County, Oklahoma,81784,28.5
40125,Pottawatomie County, Oklahoma,72592,38.5
40131,Rogers County, Oklahoma,92459,39.7
40143,Tulsa County, Oklahoma,651552,36
40145,Wagoner County, Oklahoma,81289,38.9
41003,Benton County, Oregon,93053,34.4
41005,Clackamas County, Oregon,418187,41.6
41017,Deschutes County, Oregon,197692,44
41019,Douglas County, Oregon,110980,47.5
41029,Jackson County, Oregon,220944,43.7
41033,Josephine County, Oregon,87487,46.7
41035,Klamath County, Oregon,68238,41.3
41039,Lane County, Oregon,382067,39.5
41043,Linn County, Oregon,129749,41
41047,Marion County, Oregon,347818,37
41051,Multnomah County, Oregon,812855,37.6
41053,Polk County, Oregon,86085,37.8
41059,Umatilla County, Oregon,77950,36.5
41067,Washington County, Oregon,601592,37
41071,Yamhill County, Oregon,107100,37.7
42001,Adams County, Pennsylvania,103009,44.3
42003,Allegheny County, Pennsylvania,1216045,40.5
42005,Armstrong County, Pennsylvania,64735,47.3
42007,Beaver County, Pennsylvania,163929,45.3
42011,Berks County, Pennsylvania,421164,39.9
42013,Blair County, Pennsylvania,121829,43.1
42017,Bucks County, Pennsylvania,628270,44
42019,Butler County, Pennsylvania,187853,43.8
42021,Cambria County, Pennsylvania,130192,46.3
42025,Carbon County, Pennsylvania,64182,47.6
42027,Centre County, Pennsylvania,162385,33.4
42029,Chester County, Pennsylvania,524989,40.4
42033,Clearfield County, Pennsylvania,79255,45.7
42037,Columbia County, Pennsylvania,64964,41.5
42039,Crawford County, Pennsylvania,84629,43.9
42041,Cumberland County, Pennsylvania,253370,41.3
42043,Dauphin County, Pennsylvania,278299,39.6
42045,Delaware County, Pennsylvania,566747,39
42049,Erie County, Pennsylvania,269728,40.2
42051,Fayette County, Pennsylvania,129274,45.4
