fips_code,Geographic Area Name,,population,median_age_years
45059,Laurens County, South Carolina,67493,40.4
45063,Lexington County, South Carolina,298750,39.4
45073,Oconee County, South Carolina,79546,46.9
45075,Orangeburg County, South Carolina,86175,41.2
45077,Pickens County, South Carolina,126884,36.3
45079,Richland County, South Carolina,415759,33.8
45083,Spartanburg County, South Carolina,319785,38.5
45085,Sumter County, South Carolina,106721,37.4
45091,York County, South Carolina,280979,38.6
46099,Minnehaha County, South Dakota,193134,35.9
46103,Pennington County, South Dakota,113775,40.3
47001,Anderson County, Tennessee,76978,44.4
47009,Blount County, Tennessee,133088,44.2
47011,Bradley County, Tennessee,108110,39.4
47037,Davidson County, Tennessee,694144,34.5
47059,Greene County, Tennessee,69069,45
47065,Hamilton County, Tennessee,367804,39.6
47093,Knox County, Tennessee,470313,37.7
47113,Madison County, Tennessee,97984,39.3
47119,Maury County, Tennessee,96387,39
47125,Montgomery County, Tennessee,208993,31.5
47141,Putnam County, Tennessee,80245,37.9
47147,Robertson County, Tennessee,71813,39.2
47149,Rutherford County, Tennessee,332285,34.1
47155,Sevier County, Tennessee,98250,43.5
47157,Shelby County, Tennessee,937166,35.9
47163,Sullivan County, Tennessee,158348,45.5
47165,Sumner County, Tennessee,191283,40.3
47179,Washington County, Tennessee,129375,40.5
47187,Williamson County, Tennessee,238412,39.8
47189,Wilson County, Tennessee,144657,39.8
48005,Angelina County, Texas,86715,37.2
48021,Bastrop County, Texas,88723,36.9
48027,Bell County, Texas,362924,31.5
48029,Bexar County, Texas,2003554,34.1
48037,Bowie County, Texas,93245,38.3
48039,Brazoria County, Texas,374264,36.6
48041,Brazos County, Texas,229211,26.9
48061,Cameron County, Texas,423163,31.9
48085,Collin County, Texas,1034730,37.3
48091,Comal County, Texas,156209,42.4
48099,Coryell County, Texas,75951,32.8
48113,Dallas County, Texas,2635516,33.7
48121,Denton County, Texas,887207,36
48135,Ector County, Texas,166223,31
48139,Ellis County, Texas,184826,36.6
48141,El Paso County, Texas,839238,32.6
48157,Fort Bend County, Texas,811688,36.8
48167,Galveston County, Texas,342139,38.2
48181,Grayson County, Texas,136212,40.2
48183,Gregg County, Texas,123945,36.3
48187,Guadalupe County, Texas,166847,37.6
48201,Harris County, Texas,4713325,33.9
48203,Harrison County, Texas,66553,39.5
48209,Hays County, Texas,230191,32.6
48213,Henderson County, Texas,82737,44.4
48215,Hidalgo County, Texas,868707,29.6
48231,Hunt County, Texas,98594,38.5
48245,Jefferson County, Texas,251565,37.1
48251,Johnson County, Texas,175817,37
48257,Kaufman County, Texas,136154,35.1
48291,Liberty County, Texas,88219,35.1
48303,Lubbock County, Texas,310569,31
48309,McLennan County, Texas,256623,33.9
48329,Midland County, Texas,176832,32.4
48339,Montgomery County, Texas,607391,37.7
48347,Nacogdoches County, Texas,65204,31.5
48355,Nueces County, Texas,362294,35.9
48361,Orange County, Texas,83396,37.7
48367,Parker County, Texas,142878,40.1
48375,Potter County, Texas,117415,34
48381,Randall County, Texas,137713,36.6
48397,Rockwall County, Texas,104915,37.6
48409,San Patricio County, Texas,66730,36.7
48423,Smith County, Texas,232751,36.6
48439,Tarrant County, Texas,2102515,34.8
48441,Taylor County, Texas,138034,32.9
48451,Tom Green County, Texas,119200,34.9
48453,Travis County, Texas,1273954,34.8
48469,Victoria County, Texas,92084,36.6
48471,Walker County, Texas,72971,36.7
48479,Webb County, Texas,276652,29.3
48485,Wichita County, Texas,132230,34.8
48491,Williamson County, Texas,590551,36.9
48497,Wise County, Texas,69984,38.8
49005,Cache County, Utah,128289,26
49011,Davis County, Utah,355481,31.7
49035,Salt Lake County, Utah,1160437,33.3
49045,Tooele County, Utah,72259,31.6
49049,Utah County, Utah,636235,25.2
49053,Washington County, Utah,177556,38.1
49057,Weber County, Utah,260213,33.1
50007,Chittenden County, Vermont,163774,36.9
51003,Albemarle County, Virginia,109330,39.7
51013,Arlington County, Virginia,236842,35
51015,Augusta County, Virginia,75558,45.9
51019,Bedford County, Virginia,78997,46.2
51041,Chesterfield County, Virginia,352802,38.9
51059,Fairfax County, Virginia,1147532,38.4
51061,Fauquier County, Virginia,71222,40.2
51069,Frederick County, Virginia,89313,41.5
51085,Hanover County, Virginia,107766,42
51087,Henrico County, Virginia,330818,39.1
51095,James City County, Virginia,76523,47
51107,Loudoun County, Virginia,413538,36.8
51121,Montgomery County, Virginia,98535,30
51153,Prince William County, Virginia,470335,35.6
51161,Roanoke County, Virginia,94186,44.1
51165,Rockingham County, Virginia,81948,41.6
51177,Spotsylvania County, Virginia,136215,38.1
51179,Stafford County, Virginia,152882,36.7
51199,York County, Virginia,68280,41.3
51510,Alexandria city, Virginia,159428,37.1
51550,Chesapeake city, Virginia,244835,37.8
51650,Hampton city, Virginia,134510,35.7
51680,Lynchburg city, Virginia,82168,28.2
51700,Newport News city, Virginia,179225,33.4
51710,Norfolk city, Virginia,242742,31.1
51740,Portsmouth city, Virginia,94398,36.7
51760,Richmond city, Virginia,230436,34.2
51770,Roanoke city, Virginia,99143,37.8
51800,Suffolk city, Virginia,92108,37.9
51810,Virginia Beach city, Virginia,449974,36.6
53005,Benton County, Washington,204390,36.1
53007,Chelan County, Washington,77200,39
53009,Clallam County, Washington,77331,51.8
53011,Clark County, Washington,488241,38.7
53015,Cowlitz County, Washington,110593,40.5
53021,Franklin County, Washington,95222,30.4
53025,Grant County, Washington,97733,33.3
53027,Grays Harbor County, Washington,75061,45.5
53029,Island County, Washington,85141,42.8
53033,King County, Washington,2252782,36.9
53035,Kitsap County, Washington,271473,39.5
53041,Lewis County, Washington,80707,42.5
53045,Mason County, Washington,66768,44.9
53053,Pierce County, Washington,904980,36.4
53057,Skagit County, Washington,129205,41.6
53061,Snohomish County, Washington,822083,38.2
53063,Spokane County, Washington,522798,37.8
53067,Thurston County, Washington,290536,39.6
53073,Whatcom County, Washington,229247,38.9
53077,Yakima County, Washington,250873,33
54003,Berkeley County, West Virginia,119171,38.6
54011,Cabell County, West Virginia,91945,39.7
54033,Harrison County, West Virginia,67256,42
54039,Kanawha County, West Virginia,178124,43.3
54061,Monongalia County, West Virginia,105612,32.6
54081,Raleigh County, West Virginia,73361,43.5
54107,Wood County, West Virginia,83518,43.7
55009,Brown County, Wisconsin,264542,37.9
55025,Dane County, Wisconsin,546695,35.5
55027,Dodge County, Wisconsin,87839,42.9
55035,Eau Claire County, Wisconsin,104646,35.3
55039,Fond du Lac County, Wisconsin,103403,42.2
55055,Jefferson County, Wisconsin,84769,41.5
55059,Kenosha County, Wisconsin,169561,38.1
55063,La Crosse County, Wisconsin,118016,36.2
55071,Manitowoc County, Wisconsin,78981,45.3
55073,Marathon County, Wisconsin,135692,41.2
55079,Milwaukee County, Wisconsin,945726,35.2
55087,Outagamie County, Wisconsin,187885,38.1
55089,Ozaukee County, Wisconsin,89221,44.3
55097,Portage County, Wisconsin,70772,38.3
55101,Racine County, Wisconsin,196311,41.1
55105,Rock County, Wisconsin,163354,40.3
55109,St. Croix County, Wisconsin,90687,38.9
55117,Sheboygan County, Wisconsin,115340,42
55127,Walworth County, Wisconsin,103868,41.8
55131,Washington County, Wisconsin,136034,44.2
55133,Waukesha County, Wisconsin,404198,43.2
55139,Winnebago County, Wisconsin,171907,37.9
55141,Wood County, Wisconsin,72999,44.8
56021,Laramie County, Wyoming,99500,37.6
56025,Natrona County, Wyoming,79858,38.7
