Date,FIPS,MMWR_week,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI
06/30/2021,28031,26,Covington County,MS,29.1,5417,5417,34.7,5366,38.1,2326,72.7,98.3,5888.0,31.6,5887.0,37.7,5820.0,41.3,2505.0,78.3,High,Low VC/High SVI,Low-Mod VC/High SVI,Low-Mod VC/High SVI,High VC/High SVI
06/30/2021,13021,26,Bibb County,GA,16.1,24586,24584,19.2,23791,20.5,8125,33.2,53.1,30115.0,19.7,30111.0,23.5,28883.0,24.9,10324.0,42.1,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Low-Mod VC/High SVI
06/30/2021,17049,26,Effingham County,IL,30.9,10512,10505,36.8,10381,40.1,4258,70.0,97.6,14166.0,41.7,14147.0,49.6,13898.0,53.7,5637.0,92.6,Low,Low-Mod VC/Low SVI,Low-Mod VC/Low SVI,Mod-High VC/Low SVI,High VC/Low SVI
06/30/2021,21153,26,Magoffin County,KY,33.3,4053,4053,39.0,3948,41.8,1428,66.0,93.3,4437.0,36.5,4437.0,42.6,4306.0,45.6,1511.0,69.9,High,Low-Mod VC/High SVI,Low-Mod VC/High SVI,Mod-High VC/High SVI,Mod-High VC/High SVI
06/30/2021,01131,26,Wilcox County,AL,32.5,3371,3371,38.2,3318,41.7,1357,64.5,91.8,4413.0,42.5,4413.0,50.0,4317.0,54.3,1781.0,84.6,High,Low-Mod VC/High SVI,Low-Mod VC/High SVI,Mod-High VC/High SVI,Mod-High VC/High SVI
06/30/2021,20189,26,Stevens County,KS,21.4,1176,1176,26.1,1171,29.7,448,49.0,93.2,1366.0,24.9,1366.0,30.3,1349.0,34.2,504.0,55.1,Mod-High,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low-Mod VC/Mod-High SVI
06/30/2021,29085,26,Hickory County,MO,28.8,2747,2747,32.2,2737,34.4,1695,53.4,90.6,3065.0,32.1,3065.0,35.9,3036.0,38.2,1816.0,57.2,Low-Mod,Low VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI
06/30/2021,38047,26,Logan County,ND,26.3,486,486,30.9,485,33.8,282,57.3,95.2,575.0,31.1,575.0,36.5,569.0,39.7,334.0,67.9,Low,Low VC/Low SVI,Low-Mod VC/Low SVI,Low-Mod VC/Low SVI,Mod-High VC/Low SVI
06/30/2021,51680,26,Lynchburg city,VA,0.7,563,563,0.8,553,0.8,86,0.7,51.2,710.0,0.9,709.0,1.0,693.0,1.0,106.0,0.9,Mod-High,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low VC/Mod-High SVI
06/30/2021,21119,26,Knott County,KY,33.6,4968,4968,38.7,4894,41.2,1718,60.6,93.3,5435.0,36.7,5435.0,42.3,5315.0,44.8,1802.0,63.6,High,Low-Mod VC/High SVI,Low-Mod VC/High SVI,Mod-High VC/High SVI,Mod-High VC/High SVI
06/30/2021,02188,26,Northwest Arctic Borough,AK,42.3,3225,3206,56.7,2924,60.1,445,79.9,97.3,3508.0,46.0,3481.0,61.6,3130.0,64.4,459.0,82.4,High,Mod-High VC/High SVI,High VC/High SVI,High VC/High SVI,High VC/High SVI
06/30/2021,72061,26,Guaynabo Municipio,PR,56.2,47047,47038,63.0,44608,64.9,11845,83.2,95.5,53197.0,63.5,53149.0,71.2,50268.0,73.2,13541.0,95.1,Low,High VC/Low SVI,High VC/Low SVI,High VC/Low SVI,High VC/Low SVI
06/30/2021,37165,26,Scotland County,NC,31.9,11115,11115,37.8,10910,40.7,4410,67.5,96.3,12655.0,36.3,12655.0,43.1,12371.0,46.2,4707.0,72.1,High,Low-Mod VC/High SVI,Low-Mod VC/High SVI,Mod-High VC/High SVI,Mod-High VC/High SVI
06/30/2021,40135,26,Sequoyah County,OK,26.0,10820,10820,30.7,10631,33.3,4423,56.5,93.4,12101.0,29.1,12099.0,34.3,11827.0,37.0,4777.0,61.0,High,Low VC/High SVI,Low-Mod VC/High SVI,Low-Mod VC/High SVI,Mod-High VC/High SVI
06/30/2021,37033,26,Caswell County,NC,36.4,8229,8226,41.2,8118,44.2,3592,71.8,96.3,9230.0,40.8,9225.0,46.3,9070.0,49.3,3895.0,77.8,High,Low-Mod VC/High SVI,Mod-High VC/High SVI,Mod-High VC/High SVI,High VC/High SVI
06/30/2021,38003,26,Barnes County,ND,46.0,4787,4783,52.4,4608,55.0,1791,74.0,95.2,5361.0,51.5,5351.0,58.6,5130.0,61.2,1989.0,82.2,Low,Mod-High VC/Low SVI,High VC/Low SVI,High VC/Low SVI,High VC/Low SVI
06/30/2021,47121,26,Meigs County,TN,47.2,5859,5859,54.2,5795,58.3,2713,99.9,97.8,6278.0,50.5,6277.0,58.0,6193.0,62.3,2821.0,99.9,Low-Mod,Mod-High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI
06/30/2021,46021,26,Campbell County,SD,23.8,327,327,26.7,327,28.4,174,43.2,83.0,353.0,25.7,353.0,28.8,349.0,30.3,183.0,45.4,Low,Low VC/Low SVI,Low VC/Low SVI,Low VC/Low SVI,Low-Mod VC/Low SVI
06/30/2021,42121,26,Venango County,PA,33.6,17007,17007,38.2,16637,40.6,7115,60.8,93.6,18036.0,35.6,,0.0,,0.0,,0.0,Low-Mod,Low-Mod VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI
06/30/2021,47165,26,Sumner County,TN,32.2,61517,61516,37.9,59931,40.9,20712,66.7,97.8,66280.0,34.7,66275.0,40.8,64270.0,43.8,22231.0,71.6,Low,Low-Mod VC/Low SVI,Low-Mod VC/Low SVI,Mod-High VC/Low SVI,Mod-High VC/Low SVI
06/30/2021,18013,26,Brown County,IN,40.3,6079,6079,45.1,5957,47.7,2656,69.3,98.6,6215.0,41.2,6214.0,46.1,6060.0,48.5,2681.0,69.9,Low,Mod-High VC/Low SVI,Mod-High VC/Low SVI,Mod-High VC/Low SVI,Mod-High VC/Low SVI
06/30/2021,27067,26,Kandiyohi County,MN,38.5,16644,16619,46.0,16158,49.7,6429,78.0,95.0,18791.0,43.5,18750.0,51.8,18156.0,55.8,7033.0,85.3,Low-Mod,Low-Mod VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI,High VC/Low-Mod SVI
06/30/2021,12065,26,Jefferson County,FL,44.7,6373,6373,50.2,6296,53.0,3422,97.5,98.7,7625.0,53.5,7625.0,60.1,7521.0,63.3,4204.0,99.9,Mod-High,Mod-High VC/Mod-High SVI,High VC/Mod-High SVI,High VC/Mod-High SVI,High VC/Mod-High SVI
06/30/2021,29081,26,Harrison County,MO,24.5,2045,2045,28.9,2032,32.1,1016,53.3,90.6,2311.0,27.7,2311.0,32.7,2286.0,36.1,1119.0,58.7,Mod-High,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low-Mod VC/Mod-High SVI,Mod-High VC/Mod-High SVI
06/30/2021,05063,26,Independence County,AR,24.8,9383,9374,29.6,9193,32.2,3691,54.4,89.0,10944.0,28.9,10923.0,34.4,10607.0,37.1,4114.0,60.6,High,Low VC/High SVI,Low VC/High SVI,Low-Mod VC/High SVI,Mod-High VC/High SVI
06/30/2021,56019,26,Johnson County,WY,31.3,2645,2645,36.2,2633,39.8,1340,64.5,96.1,2903.0,34.4,2903.0,39.8,2855.0,43.1,1416.0,68.1,Low,Low-Mod VC/Low SVI,Low-Mod VC/Low SVI,Low-Mod VC/Low SVI,Mod-High VC/Low SVI
06/30/2021,48075,26,Childress County,TX,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,Mod-High,,,,
06/30/2021,17021,26,Christian County,IL,32.7,10572,10570,37.6,10395,40.3,4685,71.7,97.6,12674.0,39.2,12658.0,45.0,12355.0,47.9,5444.0,83.3,Low,Low-Mod VC/Low SVI,Low-Mod VC/Low SVI,Mod-High VC/Low SVI,High VC/Low SVI
06/30/2021,19181,26,Warren County,IA,46.2,23764,23764,54.9,22669,58.4,7191,87.3,97.5,25524.0,49.6,25524.0,59.0,24135.0,62.2,7466.0,90.6,Low,Mod-High VC/Low SVI,High VC/Low SVI,High VC/Low SVI,High VC/Low SVI
06/30/2021,53035,26,Kitsap County,WA,49.3,133817,133814,57.0,126947,58.6,42199,84.6,96.1,155320.0,57.2,155313.0,66.2,147150.0,68.0,44344.0,88.9,Low-Mod,Mod-High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI
06/30/2021,31073,26,Gosper County,NE,29.6,590,590,34.2,578,37.0,244,50.1,88.8,,0.0,,0.0,,0.0,,0.0,Low,Low VC/Low SVI,Low-Mod VC/Low SVI,Low-Mod VC/Low SVI,Mod-High VC/Low SVI
